2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[75]------ 验证签名证书目录 :>E:/myenv/xampp/htdocs/feise/vendor/yinlian_sdk/certs/ 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[85]------ 加载验签证书成功 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[53]------ 报文去[signature] key=val&串>accessType=0&bizType=000201&certId=68759585097&encoding=utf-8&merId=700000000000001&orderId=2016012421709&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201602211350572561618&txnSubType=01&txnTime=20160221135057&txnType=01&version=5.0.0 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[57]------ 摘要shax16>680e826e4feb11f2b2508a469f3c71743cba4f29 
2016-02-21 13:50:57, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[59]------ 验签成功 
2016-02-21 14:36:18, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[13]------ =====签名报文开始====== 
2016-02-21 14:36:18, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[19]------ 签名key=val&...串 >accessType=0&backUrl=http://222.222.222.222/upacp_sdk_php/demo/api_05_app/BackReceive.php&bizType=000201&certId=68759663125&channelType=08&currencyCode=156&encoding=utf-8&frontUrl=http://localhost:8085/upacp_sdk_php/demo/api_05_app/FrontReceive.php&merId=777290058125654&orderId=2016012421709&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160221143618&txnType=01&version=5.0.0 
2016-02-21 14:36:18, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[22]------ 摘要sha1x16 >40f841467f40b7e1f2ae91e9e6af725064a5ad55 
2016-02-21 14:36:18, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[29]------ 签名串为 >HzYJa8PhLwwf9bMiiTeaFJhB9td5reMHhGjZ1MHM11ROBPwEeEG1JgPqLlm1BDsKE/y/C2fnBQ6PzayqvzOKSYcDlxao6qNOEbw+qkFyOSMBv/qsxrBijzmZ6Z5cqIFiNJkU2is2wtttK9dp4uKQ9NgvGSXqrY5/VqpRFGTsfZdfvWhlCZUHGl+7DQjLW6j0TSGDdSbZWGK297phvcv2jX+l3450puPih4xcSzzmu/8na0QNBTpti+cHXh4DYyqpCB3KRekMS/+vbPPFES2ZyYebSMrZDC1lmH2PrTbfpfMtYiGO/Z0wi8mglfsUGWlvuGNZ9w/qMmwU5SGXbfWfig== 
2016-02-21 14:36:18, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[34]------ =====签名报文结束====== 
2016-02-21 14:36:18, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\acp_service.php ], Line[62]------ 后台请求地址为>https://101.231.204.80:5000/gateway/api/appTransReq.do 
2016-02-21 14:36:18, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\acp_service.php ], Line[63]------ 后台请求报文为>version=5.0.0&encoding=utf-8&txnType=01&txnSubType=01&bizType=000201&frontUrl=http%3A%2F%2Flocalhost%3A8085%2Fupacp_sdk_php%2Fdemo%2Fapi_05_app%2FFrontReceive.php&backUrl=http%3A%2F%2F222.222.222.222%2Fupacp_sdk_php%2Fdemo%2Fapi_05_app%2FBackReceive.php&signMethod=01&channelType=08&accessType=0&currencyCode=156&merId=777290058125654&orderId=2016012421709&txnTime=20160221143618&txnAmt=1&certId=68759663125&signature=HzYJa8PhLwwf9bMiiTeaFJhB9td5reMHhGjZ1MHM11ROBPwEeEG1JgPqLlm1BDsKE%2Fy%2FC2fnBQ6PzayqvzOKSYcDlxao6qNOEbw%2BqkFyOSMBv%2FqsxrBijzmZ6Z5cqIFiNJkU2is2wtttK9dp4uKQ9NgvGSXqrY5%2FVqpRFGTsfZdfvWhlCZUHGl%2B7DQjLW6j0TSGDdSbZWGK297phvcv2jX%2Bl3450puPih4xcSzzmu%2F8na0QNBTpti%2BcHXh4DYyqpCB3KRekMS%2F%2BvbPPFES2ZyYebSMrZDC1lmH2PrTbfpfMtYiGO%2FZ0wi8mglfsUGWlvuGNZ9w%2FqMmwU5SGXbfWfig%3D%3D 
2016-02-21 14:36:19, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\acp_service.php ], Line[77]------ 后台返回结果为>accessType=0&bizType=000201&certId=68759585097&encoding=utf-8&merId=777290058125654&orderId=2016012421709&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201602211349452207368&txnSubType=01&txnTime=20160221143618&txnType=01&version=5.0.0&signature=nGHUZ/pWMp/ZlYHIS50bG9M2aOHTmWhm5rnIBstGwrh0sdB4hXsho4TMqfykq80UVYg3m4Z3+1/Sf99x3zw+DavEuZ6zy1XdZBq6s2XVYYJlWefLrgUawrByJAU1r7kEnzlZu73o1oFEhIwxMtr9Q9+/2KqnGNxA9kwjV+AXXtuAgjAsJVc3SV30JbuHE5w+tCR0E1A8fCgvbYQtkvEWjYqnO80w2zzVpcF9Uo7E4X8oXOxGnt/5HoKfZBwjdywVRdYsJRHPn5za+wf6Uxs9x+P9qxg4pgzrW8tv/q/DdGCIS8on2Ydu71vDIr/JOpGBO2fbfSiAOyfJlC6EzCE2cQ== 
2016-02-21 14:36:19, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[72]------ 报文返回的证书ID>68759585097 
2016-02-21 14:36:19, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[75]------ 验证签名证书目录 :>E:/myenv/xampp/htdocs/feise/vendor/yinlian_sdk/certs/ 
2016-02-21 14:36:19, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[85]------ 加载验签证书成功 
2016-02-21 14:36:19, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[53]------ 报文去[signature] key=val&串>accessType=0&bizType=000201&certId=68759585097&encoding=utf-8&merId=777290058125654&orderId=2016012421709&respCode=00&respMsg=成功[0000000]&signMethod=01&tn=201602211349452207368&txnSubType=01&txnTime=20160221143618&txnType=01&version=5.0.0 
2016-02-21 14:36:19, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[57]------ 摘要shax16>1a227c0b67a7964bf0defb4bb03483cbcdc169f4 
2016-02-21 14:36:19, INFO, ::1, File[ E:\myenv\xampp\htdocs\feise\vendor\yinlian_sdk\secureUtil.php ], Line[59]------ 验签成功 
